Date,Predicted_LST,Predicted_Tourism_Footfall
2021-01-01,279.06622,8119.459
2021-02-01,279.65942,9033.825
2021-03-01,280.2396,10193.9
2021-04-01,280.86313,11368.231
2021-05-01,281.36508,12818.003
2021-06-01,281.80765,14281.313
2021-07-01,282.2016,15821.217
2021-08-01,282.52722,17322.729
2021-09-01,282.781,18746.982
2021-10-01,282.95892,20005.727
2021-11-01,283.07034,21030.395
2021-12-01,283.1174,21785.652
2022-01-01,283.10925,22246.586
2022-02-01,283.05557,22426.764
2022-03-01,282.9686,22354.31
2022-04-01,282.86002,22080.297
2022-05-01,282.74103,21660.021
2022-06-01,282.6218,21150.195
2022-07-01,282.51047,20601.26
2022-08-01,282.41333,20054.727
2022-09-01,282.3344,19542.086
2022-10-01,282.27585,19084.91
2022-11-01,282.23813,18696.506
2022-12-01,282.2203,18383.242
2023-01-01,282.2205,18146.32
2023-02-01,282.23605,17983.113
2023-03-01,282.26407,17888.246
2023-04-01,282.30145,17854.447
2023-05-01,282.34518,17873.256
2023-06-01,282.3924,17935.463
2023-07-01,282.44055,18031.545
2023-08-01,282.48746,18152.033
2023-09-01,282.53134,18287.746
2023-10-01,282.5708,18430.166
2023-11-01,282.60486,18571.623
2023-12-01,282.6329,18705.602
2024-01-01,282.65472,18826.787
2024-02-01,282.67038,18931.291
2024-03-01,282.68024,19016.559
2024-04-01,282.68484,19081.434
2024-05-01,282.68494,19125.945
2024-06-01,282.68134,19151.19
2024-07-01,282.6749,19159.062
2024-08-01,282.66647,19152.102
2024-09-01,282.6569,19133.133
2024-10-01,282.6469,19105.197
2024-11-01,282.63712,19071.246
2024-12-01,282.62802,19034.068
2025-01-01,282.62003,18996.111
2025-02-01,282.61334,18959.459
2025-03-01,282.6082,18925.748
2025-04-01,282.60455,18896.223
2025-05-01,282.6024,18871.658
2025-06-01,282.60162,18852.48
2025-07-01,282.60205,18838.75
2025-08-01,282.6035,18830.29
2025-09-01,282.60568,18826.625
2025-10-01,282.60843,18827.182
2025-11-01,282.61154,18831.24
2025-12-01,282.61478,18838.031
2026-01-01,282.61798,18846.764
2026-02-01,282.621,18856.707
2026-03-01,282.62375,18867.176
2026-04-01,282.6261,18877.562
2026-05-01,282.62805,18887.377
2026-06-01,282.62955,18896.223
2026-07-01,282.63058,18903.83
2026-08-01,282.63123,18910.016
2026-09-01,282.63147,18914.723
2026-10-01,282.6314,18917.953
2026-11-01,282.6311,18919.775
2026-12-01,282.63055,18920.371
2027-01-01,282.62988,18919.865
2027-02-01,282.62912,18918.512
2027-03-01,282.62836,18916.49
2027-04-01,282.6276,18914.02
2027-05-01,282.6269,18911.314
2027-06-01,282.62628,18908.537
2027-07-01,282.62576,18905.832
2027-08-01,282.62534,18903.344
2027-09-01,282.62503,18901.145
2027-10-01,282.62485,18899.305
2027-11-01,282.6248,18897.846
2027-12-01,282.62482,18896.8
2028-01-01,282.6249,18896.133
2028-02-01,282.62506,18895.826
2028-03-01,282.62524,18895.826
2028-04-01,282.62546,18896.098
2028-05-01,282.62567,18896.584
2028-06-01,282.6259,18897.197
2028-07-01,282.62607,18897.918
2028-08-01,282.62628,18898.674
2028-09-01,282.62646,18899.432
2028-10-01,282.62662,18900.152
2028-11-01,282.6267,18900.783
2028-12-01,282.62677,18901.342
2029-01-01,282.6268,18901.793
2029-02-01,282.62683,18902.135
2029-03-01,282.62683,18902.37
2029-04-01,282.6268,18902.496
2029-05-01,282.62677,18902.531
2029-06-01,282.6267,18902.496
2029-07-01,282.62665,18902.406
2029-08-01,282.6266,18902.262
2029-09-01,282.62653,18902.082
2029-10-01,282.62646,18901.883
2029-11-01,282.62643,18901.686
2029-12-01,282.6264,18901.504
2030-01-01,282.62637,18901.324
2030-02-01,282.62637,18901.162
2030-03-01,282.62637,18901.035
2030-04-01,282.62637,18900.928
2030-05-01,282.62637,18900.855
2030-06-01,282.62637,18900.82
2030-07-01,282.62637,18900.8
2030-08-01,282.6264,18900.8
2030-09-01,282.62643,18900.838
2030-10-01,282.62646,18900.873
2030-11-01,282.62646,18900.928
2030-12-01,282.6265,18900.963
